order_id,line,location_id,sku,qty
ORD-1019,18,A09-B10-L1,SKU-0179,8
ORD-1019,19,A04-B03-L2,SKU-0066,10
ORD-1019,20,A09-B08-L1,SKU-0175,7
ORD-1019,21,A06-B07-L1,SKU-0113,6
ORD-1019,22,A09-B07-L2,SKU-0174,9
ORD-1019,23,A09-B07-L1,SKU-0173,2
ORD-1019,24,A09-B07-L1,SKU-0218,11
ORD-1020,1,A02-B04-L1,SKU-0027,2
ORD-1020,2,A02-B08-L2,SKU-0036,8
ORD-1020,3,A03-B01-L1,SKU-0041,11
ORD-1020,4,A03-B01-L2,SKU-0042,9
ORD-1020,5,A03-B04-L2,SKU-0048,7
ORD-1020,6,A03-B07-L2,SKU-0054,7
ORD-1020,7,A03-B08-L2,SKU-0056,1
ORD-1020,8,A06-B03-L1,SKU-0105,10
ORD-1020,9,A07-B06-L2,SKU-0132,6
ORD-1020,10,A07-B07-L2,SKU-0134,2
ORD-1020,11,A08-B02-L1,SKU-0143,12
ORD-1020,12,A08-B03-L1,SKU-0145,12
ORD-1020,13,A08-B03-L2,SKU-0146,11
ORD-1020,14,A08-B05-L1,SKU-0149,11
ORD-1020,15,A08-B06-L2,SKU-0152,2
ORD-1020,16,A08-B07-L1,SKU-0153,4
ORD-1020,17,A08-B07-L2,SKU-0154,9
ORD-1020,18,A08-B09-L1,SKU-0157,6
ORD-1020,19,A08-B09-L2,SKU-0158,1
ORD-1020,20,A08-B02-L2,SKU-0144,7
ORD-1020,21,A07-B05-L1,SKU-0129,6
ORD-1020,22,A08-B01-L1,SKU-0141,7
ORD-1020,23,A03-B03-L1,SKU-0045,8
ORD-1020,24,A08-B05-L2,SKU-0150,11
ORD-1020,25,A08-B04-L2,SKU-0148,5
